meta_threshold,profit_target,stop_loss,monthly_return,sharpe_ratio,win_rate,num_trades,max_drawdown,final_equity
0.0001,0.02,0.01,54.98701793299357,2.654995298269359,0.5747126436781609,87,-0.0557590861805114,15061.494387944542
0.0001,0.03,0.015,54.98200661596987,2.743795678013881,0.6049382716049383,81,-0.0850223457964283,15061.357209802094
0.0001,0.04,0.02,66.5771701454502,2.880564601897997,0.6075949367088608,79,-0.0783893935243712,15352.614191720284
0.0001,0.03,0.01,59.15735962348237,2.7125754187781905,0.5882352941176471,85,-0.0557590861805114,15171.99926581946
0.0001,0.04,0.015,63.71905254186507,2.8203251160204035,0.5925925925925926,81,-0.0850223457964283,15285.255607740704
0.0001,0.05,0.02,78.31207827319298,3.004207178580914,0.6153846153846154,78,-0.0783893935243712,15604.791492556678
0.001,0.02,0.01,64.16194426797064,3.498687807166576,0.6666666666666666,57,-0.0517179113880178,15295.866255205012
0.001,0.03,0.015,43.12732528028087,3.263496604350812,0.6851851851851852,54,-0.0662675780315156,14701.077465821572
0.001,0.04,0.02,54.800706125541225,3.5305884868628485,0.7307692307692307,52,-0.077859407202852,15056.386916674592
0.001,0.03,0.01,61.79912542942729,3.4855938383433203,0.6607142857142857,56,-0.0418147565986143,15238.490944261031
0.001,0.04,0.015,43.12732528028087,3.263496604350812,0.6851851851851852,54,-0.0662675780315156,14701.077465821572
0.001,0.05,0.02,44.200338268903145,3.3847953164243165,0.7058823529411765,51,-0.077859407202852,14737.059428624972
